Vernier Format 2
Radonzerfall.cmbl 07.05.2014 08:43:54 .
Latest
Zeit	Potential	Spannung
t	Pot	U
s	V	V

0	-0.014652818442	0.014652818442
0.1	-0.014652818442	0.014652818442
0.2	-0.014652818442	0.014652818442
0.3	-0.014652818442	0.014652818442
0.4	-0.014652818442	0.014652818442
0.5	-0.014652818442	0.014652818442
0.6	-0.014652818442	0.014652818442
0.7	-0.014652818442	0.014652818442
0.8	-0.014652818442	0.014652818442
0.9	-0.009768813558	0.009768813558
1	-0.014652818442	0.014652818442
1.1	-0.009768813558	0.009768813558
1.2	-0.014652818442	0.014652818442
1.3	-0.009768813558	0.009768813558
1.4	-0.009768813558	0.009768813558
1.5	-0.009768813558	0.009768813558
1.6	-0.009768813558	0.009768813558
1.7	-0.00488480867399	0.00488480867399
1.8	-0.014652818442	0.014652818442
1.9	-0.009768813558	0.009768813558
2	-0.00488480867399	0.00488480867399
2.1	-0.00488480867399	0.00488480867399
2.2	-0.029304833094	0.029304833094
2.3	-0.0732608770501	0.0732608770501
2.4	-0.161172964962	0.161172964962
2.5	-0.302809106598	0.302809106598
2.6	-0.454213258002	0.454213258002
2.7	-0.615385419175	0.615385419175
2.8	-0.776557580347	0.776557580347
2.9	-0.923077726867	0.923077726867
3	-1.05494585874	1.05494585874
3.1	-1.15262595642	1.15262595642
3.2	-1.24542204921	1.24542204921
3.3	-1.31379811759	1.31379811759
3.4	-1.38705819085	1.38705819085
3.5	-1.43589823969	1.43589823969
3.6	-1.48962229341	1.48962229341
3.7	-1.53357833737	1.53357833737
3.8	-1.57753438132	1.57753438132
3.9	-1.60195440574	1.60195440574
4	-1.62637443016	1.62637443016
4.1	-1.63614243993	1.63614243993
4.2	-1.6459104497	1.6459104497
4.3	-1.67033047412	1.67033047412
4.4	-1.68498248877	1.68498248877
4.5	-1.69475049854	1.69475049854
4.6	-1.70451850831	1.70451850831
4.7	-1.70940251319	1.70940251319
4.8	-1.72405452784	1.72405452784
4.9	-1.72893853273	1.72893853273
5	-1.72893853273	1.72893853273
5.1	-1.7387065425	1.7387065425
5.2	-1.7387065425	1.7387065425
5.3	-1.72893853273	1.72893853273
5.4	-1.72405452784	1.72405452784
5.5	-1.70940251319	1.70940251319
5.6	-1.70940251319	1.70940251319
5.7	-1.70451850831	1.70451850831
5.8	-1.70451850831	1.70451850831
5.9	-1.69963450342	1.69963450342
6	-1.68986649366	1.68986649366
6.1	-1.68498248877	1.68498248877
6.2	-1.67033047412	1.67033047412
